
220707 14.08.16	|||0.001Sec	|||﻿SerialNumber	|||	|||	|||	|||	|||	|||	|||	|||	|||	|||
220707 14.08.51	|||34.690Sec	|||18CBC-A30K100-GW519798S0005110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:19 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:19 PM
220707 14.08.52	|||36.028Sec	|||18CBC-A30K100-GW519798S0003610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:19 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:19 PM
220707 14.08.54	|||37.612Sec	|||18CBC-A30K100-GW519798S0006610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:19 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:19 PM
220707 14.08.55	|||38.856Sec	|||18CBC-A30K100-GW519798S0006710D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:19 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:19 PM
220707 14.08.57	|||40.524Sec	|||18CBC-A30K100-GW519798S0004410D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:19 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:19 PM
220707 14.08.58	|||41.991Sec	|||18CBC-A30K100-GW519798S0004210D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:20 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:20 PM
220707 14.09.00	|||43.705Sec	|||18CBC-A30K100-GW519798S0007510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:20 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:20 PM
220707 14.09.01	|||44.880Sec	|||18CBC-A30K100-GW519798S0006510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:20 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:20 PM
220707 14.09.03	|||46.530Sec	|||18CBC-A30K100-GW519798S0003710D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:20 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:20 PM
220707 14.09.04	|||47.843Sec	|||18CBC-A30K100-GW519798S0021510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:20 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:20 PM
220707 14.09.05	|||49.119Sec	|||18CBC-A30K100-GW519798S0006210D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:20 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:20 PM
220707 14.09.07	|||50.694Sec	|||18CBC-A30K100-GW519798S0007810D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:21 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:21 PM
220707 14.09.08	|||52.014Sec	|||18CBC-A30K100-GW519798S0008510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:21 PM	|||LNK908-220203LF|ABR1700025	|||F	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:21 PM
220707 14.10.03	|||107.216Sec	|||18CBC-A30K100-GW519798S0021610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:21 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:21 PM
220707 14.10.05	|||108.470Sec	|||18CBC-A30K100-GW519798S0008310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:21 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:21 PM
220707 14.10.06	|||109.801Sec	|||18CBC-A30K100-GW519798S0007210D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:21 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:21 PM
220707 14.10.07	|||111.250Sec	|||18CBC-A30K100-GW519798S0007710D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:21 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:21 PM
220707 14.10.09	|||112.539Sec	|||18CBC-A30K100-GW519798S0007310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:21 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:21 PM
220707 14.10.10	|||114.237Sec	|||18CBC-A30K100-GW519798S0007610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:22 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:22 PM
220707 14.10.11	|||115.335Sec	|||18CBC-A30K100-GW519798S0006310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:22 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:22 PM
220707 14.10.13	|||116.645Sec	|||18CBC-A30K100-GW519798S0005710D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:22 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:22 PM
220707 14.10.14	|||118.067Sec	|||18CBC-A30K100-GW519798S0005910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:22 PM	|||LNK908-220203LF|ABR1700025	|||F	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:22 PM
220707 14.10.16	|||119.442Sec	|||18CBC-A30K100-GW519798S0006410D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:22 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:22 PM
220707 14.10.17	|||120.872Sec	|||18CBC-A30K100-GW519798S0007010D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:22 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:22 PM
220707 14.10.18	|||122.180Sec	|||18CBC-A30K100-GW519798S0006010D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:23 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:23 PM
220707 14.10.20	|||123.351Sec	|||18CBC-A30K100-GW519798S0005810D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:23 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:23 PM
220707 14.10.21	|||124.656Sec	|||18CBC-A30K100-GW519798S0005610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:23 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:23 PM
220707 14.10.22	|||126.285Sec	|||18CBC-A30K100-GW519798S0026910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:23 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:23 PM
220707 14.10.24	|||127.450Sec	|||18CBC-A30K100-GW519798S0027010D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:23 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:23 PM
220707 14.10.25	|||128.992Sec	|||18CBC-A30K100-GW519798S0027410D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:23 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:23 PM
220707 14.10.26	|||130.228Sec	|||18CBC-A30K100-GW519798S0001910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:23 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:23 PM
220707 14.10.28	|||131.951Sec	|||18CBC-A30K100-GW519798S0027210D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:24 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:24 PM
220707 14.10.30	|||133.641Sec	|||18CBC-A30K100-GW519798S0027510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:24 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:24 PM
220707 14.10.31	|||135.049Sec	|||18CBC-A30K100-GW519798S0001810D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:24 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:24 PM
220707 14.10.33	|||136.670Sec	|||18CBC-A30K100-GW519798S0023310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:24 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:24 PM
220707 14.10.34	|||138.219Sec	|||18CBC-A30K100-GW519798S0002210D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:24 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:24 PM
220707 14.10.36	|||139.976Sec	|||18CBC-A30K100-GW519798S0002510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:24 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:24 PM
220707 14.10.38	|||141.499Sec	|||18CBC-A30K100-GW519798S0027910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:25 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:25 PM
220707 14.10.39	|||143.272Sec	|||18CBC-A30K100-GW519798S0024910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:25 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:25 PM
220707 14.10.41	|||144.851Sec	|||18CBC-A30K100-GW519798S0024110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:25 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:25 PM
220707 14.10.43	|||146.426Sec	|||18CBC-A30K100-GW519798S0026710D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:25 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:25 PM
220707 14.10.44	|||147.945Sec	|||18CBC-A30K100-GW519798S0002310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:25 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:25 PM
220707 14.10.45	|||149.306Sec	|||18CBC-A30K100-GW519798S0002110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:25 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:25 PM
220707 14.10.47	|||150.695Sec	|||18CBC-A30K100-GW519798S0027310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:26 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:26 PM
220707 14.10.49	|||152.398Sec	|||18CBC-A30K100-GW519798S0002010D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:26 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:26 PM
220707 14.10.50	|||153.779Sec	|||18CBC-A30K100-GW519798S0001310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:26 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:26 PM
220707 14.10.52	|||155.455Sec	|||18CBC-A30K100-GW519798S0026610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:26 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:26 PM
220707 14.10.53	|||156.931Sec	|||18CBC-A30K100-GW519798S0022710D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:26 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:26 PM
220707 14.10.55	|||158.481Sec	|||18CBC-A30K100-GW519798S0022810D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:26 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:26 PM
220707 14.10.56	|||159.794Sec	|||18CBC-A30K100-GW519798S0023110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:27 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:27 PM
220707 14.10.58	|||161.552Sec	|||18CBC-A30K100-GW519798S0022910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:27 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:27 PM
220707 14.10.59	|||162.562Sec	|||18CBC-A30K100-GW519798S0022610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:27 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:27 PM
220707 14.11.00	|||163.984Sec	|||18CBC-A30K100-GW519798S0022110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:27 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:27 PM
220707 14.11.02	|||165.362Sec	|||18CBC-A30K100-GW519798S0026310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:27 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:27 PM
220707 14.11.03	|||166.696Sec	|||18CBC-A30K100-GW519798S0004110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:27 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:27 PM
220707 14.11.04	|||167.671Sec	|||18CBC-A30K100-GW519798S0004510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:28 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:28 PM
220707 14.11.05	|||168.931Sec	|||18CBC-A30K100-GW519798S0003510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:28 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:28 PM
220707 14.11.06	|||169.913Sec	|||18CBC-A30K100-GW519798S0003810D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:28 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:28 PM
220707 14.11.08	|||171.416Sec	|||18CBC-A30K100-GW519798S0022310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:28 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:28 PM
220707 14.11.09	|||172.695Sec	|||18CBC-A30K100-GW519798S0028110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:28 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:28 PM
220707 14.11.10	|||173.956Sec	|||18CBC-A30K100-GW519798S0020710D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:28 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:28 PM
220707 14.11.12	|||175.472Sec	|||18CBC-A30K100-GW519798S0022410D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:28 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:28 PM
220707 14.11.13	|||176.797Sec	|||18CBC-A30K100-GW519798S0022510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:29 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:29 PM
220707 14.11.14	|||178.262Sec	|||18CBC-A30K100-GW519798S0028010D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:29 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:29 PM
220707 14.11.16	|||179.934Sec	|||18CBC-A30K100-GW519798S0034910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:29 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:29 PM
220707 14.11.17	|||180.863Sec	|||18CBC-A30K100-GW519798S0021910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:29 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:29 PM
220707 14.11.18	|||182.213Sec	|||18CBC-A30K100-GW519798S0022010D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:29 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:29 PM
220707 14.11.20	|||183.806Sec	|||18CBC-A30K100-GW519798S0026410D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:29 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:29 PM
220707 14.11.21	|||184.877Sec	|||18CBC-A30K100-GW519798S0023410D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:30 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:30 PM
220707 14.11.23	|||186.555Sec	|||18CBC-A30K100-GW519798S0025110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:30 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:30 PM
220707 14.11.24	|||188.068Sec	|||18CBC-A30K100-GW519798S0025810D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:30 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:30 PM
220707 14.11.26	|||189.377Sec	|||18CBC-A30K100-GW519798S0025510D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:30 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:30 PM
220707 14.11.27	|||190.975Sec	|||18CBC-A30K100-GW519798S0023710D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:30 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:30 PM
220707 14.11.29	|||192.663Sec	|||18CBC-A30K100-GW519798S0017910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:30 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:30 PM
220707 14.11.30	|||193.758Sec	|||18CBC-A30K100-GW519798S0020310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:31 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:31 PM
220707 14.11.31	|||195.025Sec	|||18CBC-A30K100-GW519798S0025610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:31 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:31 PM
220707 14.11.33	|||196.567Sec	|||18CBC-A30K100-GW519798S0024810D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:31 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:31 PM
220707 14.11.35	|||198.464Sec	|||18CBC-A30K100-GW519798S0025310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:31 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:31 PM
220707 14.11.36	|||199.439Sec	|||18CBC-A30K100-GW519798S0025210D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:31 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:31 PM
220707 14.11.38	|||201.539Sec	|||18CBC-A30K100-GW519798S0024710D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:31 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:31 PM
